name,general,descrip
Learn Aircraft Systems,applied science,"This app is suitable for Aircraft Related Studies: Pilots, Aeronautical engineering, Aircraft maintenance engineering, Aircraft avionics engineers, Aircraft mechanical engineers."
Intermediate Sight Words Free,linguistics,"Intermediate sight words features multiple interactive activities to introduce and practice use of high frequency words critical for reading, high frequency words or sight words are the building blocks for children learning to read. This application includes 150 of the most common words found in reading materials for kindergarten and first grade age children. All words are pronounced clearly by a native English speaker."
Rad Onc Calc,natural sciences ,Bed/eqd2 calculator and constraints reference for radiation oncologists
Clefs: Music Reading Trainer,art,"The ultimate music reading training app. Designed like a video game and with strong pedagogical concepts in mind, is the fastest way to learn to read sheet music and improve your sight-reading skills."
Learn HTML 5 Tutorial,applied science,"Learn HTML5 is the next major revision of the HTML standard superseding HTML 4.01, XHTML 1.0, and XHTML 1.1. HTML5 is a standard for structuring and presenting content on the World Wide Web."
Saksham Attendance,others,Attendance App for Saksham Yuva Working with NIC Kurushetra Only. attendance Mark by GPS Locaton to Ensure daily presence in School.
BIG BOSS - THE BIGGER NUMBER,math,Fun and easy way to learn bigger numbers. Identify and touch the bigger number.
"Trinity Central School, Udupi",others,"It gives the best digital tool to our teachers, students and parents. The school Management, teachers, parents and students gets on a single platform to bring transparency in the entire system related to child’s activity."
Scholarships For International Students,others,"This app updates you, allows you to search, find and get information regarding latest scholarship opportunities available worldwide for international students for their undergraduate, masters, post-graduate, graduate, PhD degrees in world's renowned universities for free."
Latin-English Dictionary,linguistics,"This is a Latin-English and English-Latin Dictionary(Latin-English Dictionary). This new dictionary is more than just a dictionary. You can search words, from which you can also listen to the pronunciation."
90 Degree Education,others, A Bengali based academic educational learning app where you can avail all the videos of different subjects for free.
Zoology Dictionary,natural sciences ,This is the app which provides free and instant access to over 8500 zoology definitions from all certified sources.
Length Converter,natural sciences ,Length Converter Is Very Simple and Usefull For Unit Conversion Of Lengths.
"Math games - try to Add, Subtract, Multiply & Divide",math,"The best math competition game, expand your mental activity in a fun way. Use this app for: Improve your level of mental arithmetic."
BCA - All Notes here,applied science,"Build your Knowledge skills with the BCA Application. Learn the subject of BCA with a proper notes or become an expert of computer with this best BCA learning app. Learn to code with C Language for free
with a many notes of BCA for learning app."
English Pronunciation,linguistics,Pronunciation app that teaches you how to pronounce English properly and also checks your pronunciation (phonetic) to make sure you do it right.
Biosphere 2,social sciences ,Provides an accessible and family-friendly guide for you to explore the groundbreaking science and unique history of this one-of-a kind facility.
